StartingWallTime;Texec;expectedH;realH
2023-01-02T21:20:48.229917145;4.294998;8;8
2023-01-02T21:20:48.334295881;46.042184;8;8
2023-01-02T21:20:48.480398504;3.662662;8;8
2023-01-02T21:20:48.584124234;3.184438;8;8
2023-01-02T21:20:48.687369591;3.863324;8;8
2023-01-02T21:20:48.791293383;3.954825;8;8
2023-01-02T21:20:48.895311416;8.580646;8;8
2023-01-02T21:20:49.003955130;3.264649;8;8
2023-01-02T21:20:49.107280817;53.018436;8;8
2023-01-02T21:20:49.260361231;3.34383;8;8
2023-01-02T21:20:49.363765539;46.588119;8;8
2023-01-02T21:20:49.510411476;3.499381;8;8
2023-01-02T21:20:49.613975106;3.294579;8;8
2023-01-02T21:20:49.717328993;3.36303;8;8
2023-01-02T21:20:49.820752001;3.867844;8;8
2023-01-02T21:20:49.924683754;3.176327;8;8
2023-01-02T21:20:50.027923060;4.356948;8;8
2023-01-02T21:20:50.132341387;3.51052;8;8
2023-01-02T21:20:50.235913626;3.094577;8;8
2023-01-02T21:20:50.339070492;51.29793;8;8
2023-01-02T21:20:50.490428090;2.913246;8;8
2023-01-02T21:20:50.593402845;46.934743;8;8
2023-01-02T21:20:50.740396155;4.091116;8;8
2023-01-02T21:20:50.844549649;45.874623;8;8
2023-01-02T21:20:50.990484961;3.000966;8;8
2023-01-02T21:20:51.093550136;3.598031;8;8
2023-01-02T21:20:51.197211936;3.594871;8;8
2023-01-02T21:20:51.300868356;49.466334;8;8
2023-01-02T21:20:51.450395908;3.984495;8;8
2023-01-02T21:20:51.554446152;3.622362;8;8
2023-01-02T21:20:51.658128352;4.720242;8;8
2023-01-02T21:20:51.762910112;3.182908;8;8
2023-01-02T21:20:51.866155849;5.562748;8;8
2023-01-02T21:20:51.971778106;4.675501;8;8
2023-01-02T21:20:52.076521265;3.697413;8;8
2023-01-02T21:20:52.180280626;3.164828;8;8
2023-01-02T21:20:52.283506403;3.195408;8;8
